Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Cases/1M population,Deaths/1M population,Total Tests,Tests/1M population,Population
Afghanistan,155859,7247.0,127313.0,21299.0,3890,181.0,768249.0,19176.0,40063583
Albania,178804,2841.0,169674.0,6289.0,62220,989.0,1265601.0,440406.0,2873716
Algeria,205453,5875.0,140897.0,58681.0,4578,131.0,230861.0,5144.0,44877090
Andorra,15369,130.0,15162.0,77.0,198499,1679.0,193595.0,2500387.0,77426
Angola,63197,1678.0,51770.0,9749.0,1848,49.0,1043451.0,30521.0,34188339
Antigua and Barbuda,3918,95.0,3121.0,702.0,39583,960.0,17674.0,178560.0,98981
Argentina,5274766,115737.0,5141288.0,17741.0,115336,2531.0,24588472.0,537643.0,45733844
Armenia,286303,5870.0,256525.0,23908.0,96384,1976.0,1925266.0,648143.0,2970435
Aruba,15746,170.0,15424.0,152.0,146674,1584.0,177885.0,1656995.0,107354
Australia,149421,1577.0,116402.0,31442.0,5773,61.0,41541872.0,1604948.0,25883622
Austria,783996,11209.0,748250.0,24537.0,86409,1235.0,93571738.0,10313098.0,9073097
Azerbaijan,505554,6793.0,479675.0,19086.0,49285,662.0,5044744.0,491798.0,10257748
Bahamas,22048,626.0,20065.0,1357.0,55380,1572.0,152961.0,384209.0,398119
Bahrain,276262,1392.0,274220.0,650.0,155377,783.0,6731697.0,3786072.0,1778016
Bangladesh,1566296,27785.0,1529068.0,9443.0,9389,167.0,10135042.0,60755.0,166817904
Barbados,13553,120.0,9330.0,4103.0,47086,417.0,362204.0,1258387.0,287832
Belarus,575856,4432.0,547949.0,23475.0,60968,469.0,9157706.0,969553.0,9445286
Belgium,1292887,25797.0,1194046.0,73044.0,110929,2213.0,20922487.0,1795136.0,11655100
Belize,24768,466.0,21403.0,2899.0,60858,1145.0,291691.0,716719.0,406981
Benin,24560,161.0,23971.0,428.0,1959,13.0,604310.0,48213.0,12534140
Bermuda,5593,95.0,5240.0,258.0,90240,1533.0,576157.0,9296003.0,61979
Bhutan,2617,3.0,2605.0,9.0,3344,4.0,1180610.0,1508518.0,782629
Bolivia,507134,18877.0,469696.0,18561.0,42690,1589.0,2482971.0,209013.0,11879482
Bosnia and Herzegovina,245791,11228.0,192218.0,42345.0,75528,3450.0,1273411.0,391301.0,3254303
Botswana,184051,2389.0,179933.0,1729.0,76271,990.0,1796128.0,744314.0,2413133
Brazil,21664879,603902.0,20838188.0,222789.0,100992,2815.0,63776166.0,297297.0,214520249
Brunei,11220,77.0,8421.0,2722.0,25332,174.0,451179.0,1018661.0,442914
Bulgaria,550555,22612.0,462612.0,65331.0,80017,3286.0,5137221.0,746638.0,6880474
Burkina Faso,14759,209.0,14263.0,287.0,682,10.0,222243.0,10268.0,21644914
Burundi,19745,38.0,773.0,18934.0,1599,3.0,345742.0,27998.0,12348836
Cabo Verde,38052,347.0,37318.0,387.0,67490,615.0,211025.0,374277.0,563820
Cambodia,117201,2693.0,111690.0,2818.0,6886,158.0,2560113.0,150427.0,17018973
Cameroon,100289,1600.0,80433.0,18256.0,3660,58.0,1751774.0,63931.0,27401189
Canada,1687608,28603.0,1628009.0,30996.0,44211,749.0,45212799.0,1184465.0,38171510
CAR,11478,100.0,6859.0,4519.0,2324,20.0,60228.0,12195.0,4938589
Cayman Islands,1095,2.0,867.0,226.0,16411,30.0,136206.0,2041365.0,66723
Chad,5067,174.0,4874.0,19.0,297,10.0,148082.0,8693.0,17035604
Channel Islands,12413,99.0,11767.0,547.0,70552,563.0,973750.0,5534494.0,175942
Chile,1672998,37623.0,1624180.0,11195.0,86553,1946.0,22825782.0,1180902.0,19329111
China,96601,4636.0,91460.0,505.0,67,3.0,160000000.0,111163.0,1439323776
Colombia,4983527,126910.0,4828195.0,28422.0,96605,2460.0,26320481.0,510221.0,51586395
Comoros,4194,147.0,4024.0,23.0,4693,165.0,,,893592
Congo,15962,231.0,12421.0,3310.0,2803,41.0,188207.0,33054.0,5693903
Costa Rica,553661,6880.0,479169.0,67612.0,107414,1335.0,2471064.0,479402.0,5154470
Croatia,429974,8928.0,411152.0,9894.0,105583,2192.0,2983029.0,732504.0,4072372
Cuba,938577,8101.0,922735.0,7741.0,82930,716.0,10222153.0,903206.0,11317637
Curaçao,16955,172.0,16617.0,166.0,102780,1043.0,297109.0,1801054.0,164964
Cyprus,120987,565.0,90755.0,29667.0,99270,464.0,9420908.0,7729881.0,1218765
Czechia,1715515,30574.0,1664526.0,20415.0,159809,2848.0,39502867.0,3679896.0,10734778
Denmark,370159,2690.0,358272.0,9197.0,63616,462.0,84857257.0,14583585.0,5818683
Djibouti,13423,181.0,13139.0,103.0,13335,180.0,231671.0,230146.0,1006627
Dominica,4366,30.0,3985.0,351.0,60456,415.0,85379.0,1182240.0,72218
Dominican Republic,372077,4093.0,362054.0,5930.0,33859,372.0,2153012.0,195924.0,10989031
DRC,57338,1091.0,50930.0,5317.0,616,12.0,306299.0,3291.0,93082827
Ecuador,514087,32937.0,443880.0,37270.0,28576,1831.0,1895185.0,105345.0,17990353
Egypt,320207,18058.0,270193.0,31956.0,3054,172.0,3693367.0,35230.0,104835112
El Salvador,110188,3520.0,92173.0,14495.0,16878,539.0,1329565.0,203650.0,6528687
Equatorial Guinea,13020,161.0,12450.0,409.0,8902,110.0,195087.0,133386.0,1462574
Eritrea,6778,45.0,6682.0,51.0,1878,12.0,23693.0,6563.0,3610062
Estonia,175782,1438.0,155588.0,18756.0,132397,1083.0,2048430.0,1542849.0,1327693
Eswatini,46372,1236.0,44959.0,177.0,39440,1051.0,364154.0,309721.0,1175747
Ethiopia,359881,6258.0,330334.0,23289.0,3033,53.0,3614960.0,30468.0,118649686
Fiji,51846,663.0,48347.0,2836.0,57296,733.0,429732.0,474908.0,904875
Finland,151787,1120.0,46000.0,104667.0,27340,202.0,7334870.0,1321147.0,5551897
France,7096043,117355.0,6890873.0,87815.0,108401,1793.0,151204954.0,2309846.0,65461049
French Guiana,43690,297.0,9995.0,33398.0,141529,962.0,418182.0,1354651.0,308701
French Polynesia,40178,635.0,33500.0,6043.0,141964,2244.0,26355.0,93122.0,283016
Gabon,33842,218.0,28011.0,5613.0,14754,95.0,1282319.0,559055.0,2293728
Gambia,9946,339.0,9600.0,7.0,3971,135.0,103647.0,41384.0,2504505
Georgia,675771,9588.0,619285.0,46898.0,169825,2410.0,9732942.0,2445942.0,3979221
Germany,4410332,95588.0,4164600.0,150144.0,52422,1136.0,73348901.0,871834.0,84131757
Ghana,129592,1169.0,126085.0,2338.0,4061,37.0,1827212.0,57256.0,31913037
Greece,700959,15447.0,655622.0,29890.0,67680,1491.0,23720970.0,2290352.0,10356908
Greenland,688,,629.0,59.0,12092,,82553.0,1450895.0,56898
Grenada,5776,193.0,5444.0,139.0,51025,1705.0,77798.0,687261.0,113200
Guadeloupe,54152,731.0,2250.0,51171.0,135308,1827.0,485295.0,1212592.0,400213
Guatemala,589986,14436.0,564444.0,11106.0,32161,787.0,2785421.0,151836.0,18344969
Guinea,30599,385.0,29233.0,981.0,2251,28.0,564291.0,41511.0,13593729
